Character,Reading
㠅,fú fù
㠆,dān
㠇,jiù
㠈,rùn
㠉,tóng
㠊,qū
㠌,qī
㠍,jí
㠎,jí jié
㠏,huá
㠑,zuì
㠓,méng
㠔,bài
㠕,wěi
㠖,yǐ
㠙,háo
㠚,duì
㠛,wò
㠟,lí
㠠,lú
㠡,niǎo
㠢,huái
㠣,lì
㠥,lǜ léi lěi
㠦,fēng
㠧,mǐ
㠨,yù
㠮,pēng gāng
㠱,jì qǐ
㠲,bǐ
㠴,rèn
㠵,huāng
㠷,gé
㠹,jiè
㠺,shā miáo
㠼,sī
㠽,tóng
㠾,yuān
㠿,zī cǐ
㡀,bì
㡁,kuǎ
㡂,lì
㡃,huāng
㡄,xún
㡅,nuǒ
㡇,zhé jiē
㡈,wèn mén miǎn
㡉,xián
㡋,yé ān
㡏,shù xū tóu shū
㡑,jiǎo qiāo
㡒,zhūn
㡓,kūn
㡔,wù
㡕,yīng
㡖,chuáng
㡗,tí
㡘,lián lín
㡙,bī
㡚,gōu
㡜,xiè xuě
㡝,fèng
㡞,lóu lǚ
㡟,zāo
㡥,yìn
㡦,pīn
㡨,jiān qiān
㡩,luán
㡫,yì
㡮,jí
㡯,zhái dù duó
㡲,huán
㡳,zhǐ
㡴,lā
㡵,líng
㡶,zhǐ
㡷,běn
㡸,zhà zhǎ chá
㡹,jū
㡺,dàn
㡼,yì
㡽,zhào
㡾,xiàn
㢀,cì
㢁,chǐ shǐ
㢂,yǎn tuí duī
㢃,láng
㢄,dòu
㢅,lòng
㢈,tuí duī
㢉,chá
㢊,ǎi yǐ
㢋,chǐ
㢍,yǐng
㢎,zhé
㢏,tóu yǔ yú
㢒,chá
㢔,zǒng
㢖,pān bān
㢗,qiào
㢚,lǔ
㢛,yàn qiān
㢜,kàng
㢝,sū
㢞,yì
㢟,chān
㢥,dòng
㢧,juàn
㢨,hàn
㢩,dì
㢬,hóng
㢯,diāo mín
㢰,bì
㢵,xié shè
㢸,bì
㢻,ruì
㢾,juàn
㣀,zhèn
㣁,bèi
㣂,è
㣄,qú
㣅,zàn
㣆,mí
㣇,yì
㣈,sì
㣌,shàn
㣎,mù
㣑,róng
㣒,cèng
㣓,càn
㣔,dīng
㣙,dí zhòu
㣚,tǒng tóng dòng
㣛,tà huì
㣜,xíng
㣝,sōng
㣞,duó
㣟,xì
㣠,tāo tóng
㣢,tí
㣣,shàn
㣦,wēi
㣪,huǎn
㣫,zhǒng dòng
㣬,qì
㣭,zōng
㣯,xiè
㣰,xiè
㣱,zé
㣶,zhān
㣷,nìng
㣻,yì
㣽,shù nù
㣾,chà
㣿,zhuó diǎo
㤃,fáng
㤄,pèi
㤅,ài xì jì
㤆,fàn
㤇,ǎo
㤈,qìn
㤉,qiā yà
㤊,xiào
㤋,fēn
㤌,gān
㤍,qiāo qiǎo
㤎,gē
㤏,tóng
㤐,chān
㤑,yòu
㤒,gāo
㤓,bèn
㤔,fù
㤕,chù pò
㤖,zhù
㤚,háng
㤝,chōng
㤞,chà duó zé
㤠,liè
㤡,lì liè
㤢,yù
㤥,hài
㤦,lì
㤧,hóu
㤨,gǒng
㤫,dé
㤮,guàng
㤯,jiǒng
㤰,zuò
㤱,fù dòu
㤲,qiè
㤳,běi
