Character,Reading
包,tsutsumu tsutsumi
匆,isogashii
匈,mune osoreru sawagu
匊,sukuu tanagokoro
匋,yakimono
匌,au meguru
匍,hau
匎,ogoranai
匏,hisago
匐,harabau
匑,uyamau
匓,atsu hakaru
匕,saji
化,bakeru kawaru bakasu
北,kita nigeru
匘,nauzuru
匙,saji
匚,hako
匛,hitsugi
匜,hisage hanzou
匝,meguru
匞,takumi
匠,takumi
匡,tadasu sukuu
匣,hako
匤,hako
匥,hako
匧,hako
匨,kura
匩,tadasu sukuu
匪,hako katami arazu
匫,utsuwa
匬,masu motai
匭,hako kukuru
匯,meguru
匰,zushi hako
匱,hitsu
匲,hako
匳,kushige
匵,hitsu hako
匸,kakusu oou
匹,tagui taguu
医,iyasu kusushi
匼,kobihetsurau megurusama
匽,kakusu husu nabiku hako dobu
匾,usui hiratai gaku
匿,kakureru kakusu
區,wakeru shikiru
十,tou totabi
卂,tobu
千,chi
卄,nijuu
卅,sanjuu
卆,niwaka owaru tsuini
升,masu noboru
午,uma
卉,kusa
半,nakaba nakabasuru
卋,yo
卌,yonjuu
卍,manji
卐,manji
卑,hikui iyashii iyashimeru
卒,niwaka owaru tsuini
卓,sugureru
協,kanau
单,hitoe
南,minami
単,hitoe
卙,atsumaru
博,hiroi hiromeru
卛,hikiiru
卜,uranau uranai
卝,agemaki itokenai aragane
卞,nori
占,shimeru uranau uranai
卣,saketsubo
卦,urakata
卩,warifu
卬,nozomu nasu takaburu
卮,sakazuki
卯,u
印,shirushi
危,ayaui abunai ayabumu
卲,takai
即,tsuku sunawachi moshi
却,shirizoku shirizokeru kaette
卵,tamago
卷,maku
卸,orosu oroshi
卹,ureeru
卺,sakazuki
卻,shirizoku shirizokeru kaette
卼,ayai
卽,tsuku sunawachi moshi
卾,uwaago
卿,kimi
厂,gake
厃,aogu taruki noki
厄,kurushimu wazawai
厇,hiraku
厈,gandare
厊,kuichigau
压,osaeru
厎,to migaku tairanisuru
厏,kuichigau semai
厓,gake kishi katahe hate
厔,sasaerareru tomaru
厖,ookii
厘,mise
厚,atsui
厝,to majiru oku
原,hara moto tazuneru
厠,kawaya
厤,osameru
厥,sono sore
厦,ie
厧,tsuka
厨,kuriya
厩,umaya
厪,koya
厫,kura
厭,akiru itou
厮,komono
厯,koromi
厰,umaya
厲,to togu kosuru
厳,kibishii ogosoka itsukushi
厵,minamoto
厶,gozaru
厷,kaina marui
厸,tonaru tonari
厺,saru
去,saru
厽,kabe
叀,tsutsushimu kakeru
叁,mitsu
参,mairu majiwaru mitsu
參,mairu
叄,mairu mitsu majiwaru
叅,mairu
又,mata
叉,mata
及,oyobu oyobi oyobosu
友,tomo
双,futatsu narabu tagui
反,soru kaesu kaeru
収,osameru osamaru
叏,wakeru
叒,shitagau
叓,koto
叔,oji
叕,tsuzuru sumiyaka
取,toru
受,ukeru uke
