"Character","Reading"
"咛","níng"
"咦","yí"
"咧","lie"
"咬","yǎo"
"咱","zán,zan"
"咳","hāi,ké"
"咸","xián"
"咽","yàn,yè,yān"
"哀","āi"
"品","pǐn"
"哄","hōng,hǒng"
"哆","duō"
"哇","wa,wā"
"哈","hā"
"响","xiǎng"
"哎","āi"
"哏","gén"
"哑","yǎ"
"哗","huā"
"哟","yō,yo"
"員","yuán"
"哥","gē,ge"
"哦","ó,ò,é"
"哧","chī"
"哨","shào"
"哩","li"
"哪","nǎ,na"
"哭","kū"
"哮","xiāo"
"哲","zhé"
"哺","bǔ"
"哼","hēng"
"哽","gěng"
"唄","bei"
"唇","chún"
"唤","huàn,huan"
"唬","hu"
"售","shoù"
"唯","wéi"
"唰","shuā"
"唱","chàng"
"唾","tuò"
"啃","kěn"
"啄","zhuó"
"商","shāng"
"啊","a,ā"
"問","wèn,wen"
"啞","yǎ"
"啟","qǐ"
"啡","fēi"
"啤","pí"
"啥","shà"
"啦","la,lā"
"啪","pā"
"啸","xiào"
"啼","tí"
"啾","jiū"
"喂","wèi"
"喃","nán"
"善","shàn"
"喇","lǎ"
"喉","hoú"
"喊","hǎn"
"喔","ō"
"喘","chuǎn"
"喚","huàn,huan"
"喜","xǐ"
"喝","hē,he,hè"
"喪","sàng"
"單","dān"
"喲","yō,yo"
"喷","pēn"
"喽","lou"
"嗅","xiù"
"嗎","ma,má"
"嗐","hài"
"嗓","sǎng"
"嗚","wū"
"嗡","wēng"
"嗦","suo"
"嗨","hāi"
"嗬","hē"
"嗯","ń,ň,ǹ,nǵ,nǧ,ng̀"
"嗽","sou"
"嘀","dí"
"嘆","tàn"
"嘈","cáo"
"嘍","lou"
"嘗","cháng"
"嘘","xū"
"嘛","ma,má"
"嘩","huā"
"嘯","xiào"
"嘱","zhǔ"
"嘲","cháo"
"嘴","zuǐ"
"嘶","sī"
"嘻","xī"
"嘿","hēi"
"噓","xū"
"噢","ō"
"器","qì"
"噪","zào"
"噴","pēn"
"噸","dūn"
"嚀","níng"
"嚇","xià"
"嚨","lóng"
"嚴","yán"
"嚷","rǎng"
"嚼","jué"
"囑","zhǔ"
"四","sì"
"回","huí"
"因","yīn"
"团","tuán"
"囪","cōng"
"园","yuán"
"困","kùn"
"囱","cōng"
"围","wéi"
"固","gù"
"国","guó"
"图","tú"
"圆","yuán"
"圈","quān,juàn"
"國","guó"
"圍","wéi"
"園","yuán"
"圓","yuán"
"圖","tú"
"團","tuán"
"土","tǔ"
"圣","shèng"
"在","zài"
"地","de,dì"
"场","chǎng,cháng"
"圾","jī"
"址","zhǐ"
"均","jūn"
"坊","fang"
"坎","kǎn"
"坏","huài"
"坐","zuò"
"坑","kēng"
"块","kuài"
"坚","jiān"
"坝","bà"
"坟","fén"
"坠","zhuì"
"坡","pō"
"坦","tǎn"
"坯","pī"
"垂","chuí"
"垃","lā"
"垄","lǒng"
"型","xíng"
"垒","lěi"
"垦","kěn"
"垫","diàn"
"垮","kuǎ"
"埃","āi"
"埋","mái,mán"
"城","chéng"
"域","yù"
"埠","bù"
"執","zhí"
"培","péi"
"基","jī"
"堂","táng,tang"
"堅","jiān"
"堆","duī"
"堡","bǎo"
"堤","dī"
"堪","kān"
"堰","yàn"
"報","bào"
"場","chǎng,cháng"
"堵","dǔ"
"塊","kuài"
"塌","tā"
"塑","sù"
"塔","tǎ"
"塘","táng"
"塞","sāi,sè"
"填","tián"
"塵","chén"
"境","jìng"
"墊","diàn"
"墓","mù"
"墙","qiáng"
"墜","zhuì"
"增","zēng"
"墨","mò"
"墩","dūn"
"墳","fén"
"墾","kěn"
"壁","bì"
"壓","yā"
"壕","háo"
"壘","lěi"
"壞","huài"
"壟","lǒng"
"壤","rǎng"
"壩","bà"
"士","shì,shi"
"壮","zhuàng"
"壯","zhuàng"
"声","shēng,sheng"
"壳","ké,qiào"
"壶","hú"
"壺","hú"
"壽","shoù"
"处","chù,chǔ,chu"
"备","bèi"
"复","fù"
"夏","xià"
"夕","xī"
